OBJECTID,SiteKey,PlotKey,DateModified,PlotID,EstablishDate,State,County,Directions,AvgPrecip,AvgPrecipUOM,EcolSite,Soil,ParentMaterial,Slope,Aspect,ESD_SlopeShape,LandscapeType,LandscapeTypeSecondary,MgtUnit,GPSCoordSys,Datum,Zone,Easting,Northing,Elevation,ElevationType,RecentWeatherPast12,RecentWeatherPrevious12,DisturbWildfire,DisturbRodents,DisturbMammals,DisturbWater,DisturbWind,DisturbWaterSoilDep,DisturbWindSoilDep,DisturbUndgroundUtils,DisturbOverhdTransLines,DisturbOther,DisturbOtherDesc,WildlifeUse,ManagementHistory,OffsiteInfluences,Comments,ESD_MLRA,ESD_CRA,ESD_Region,ESD_Investigators,ESD_Bedrock,ESD_CommunityDescription,ESD_MajorLandform,ESD_ComponentLandform,HillslopeType,ESD_GeomorphicComp,ESD_RunIn_RunOff,ESD_SlopeComplexity,ESD_Root_density,ESD_Root_Depth,ESD_Root_Notes,ESD_DKDate,ESD_DKObservers,ESD_LitterClass,ESD_BiologicalCrustClass,ESD_PctGrassCover,ESD_ResourceRetentionClass,ESD_bareGapPatchSize,ESD_grassPatchSize,ESD_ResourceRetentionNotes,ESD_Pedoderm_Class,ESD_SurfaceNotes,ESD_SubsurfaceNotes,ESD_Compaction,ESD_Series,ESD_ParticleSizeClass,ESD_Mineralogy,ESD_SoilTempRegime,ESD_DepthClass,ESD_Subgroup,ESD_Greatgroup,ESD_Reaction,ESD_SoilMoistureRegime,ESD_CationExchangeActivityClass,ESD_Epipedon,ESD_Subsurface_features,ESD_Depth_to_root_horizon,ESD_Type_root_horizon,ESD_Horizon_notes,ESD_TrackingID,ESD_StateWithinEcologicalSite,ESD_CommunityWithinState,ESD_ErosionPatternClass,ESD_SoilRedistributionClass,Longitude,Latitude,DateLoadedInDb,GlobalID,PrimaryKey,DBKey,created_user,created_date,last_edited_user,last_edited_date,ADMINST,SpeciesState,ProjectName,Purpose,PurposeFlag,Design,DesignFlag,Rills,RillLength,Rills_note,Gullies,Gullies_note,Pedestals,Pedestals_note,Deposition,Deposition_note,WaterFlow,WaterFlow_note,OtherMgmt,MUC
60576,1506172212312594,1507011506557082,9/29/2015 16:23:30,Paxton RC4 SI2,6/30/2015 0:00:00,CO,,,0.000000000000000,in, UNKNOWN,,,4.000000000000000,SE,LC,Fan Piedmont,,Allotment,Decimal Degrees,WGS84,,-108.068799999999996,38.417760000000001,7390.000000000000000,2,Wet,Normal,0,0,0,0,0,0,0,0,0,0,,,,Roller Chopper tree control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-108.068789440000003,38.417753939999997,2015-09-01,{99291683-2CC7-44F3-B371-46602E6B99C1},15070115065570822015-09-01,TravelingAIMcrew 2015 5.0.mdb,DBROWNING,8/29/2018 19:47:07,SBURNETT,7/22/2020 16:00:09,CO,CO,Colorado Uncompagre FO 2015,,,,,,,,,,,,,,,,,
60577,1506172212312594,1507011621451769,9/29/2015 16:24:05,Roubideau RC4 SI1,7/1/2015 0:00:00,CO,,,0.000000000000000,in, UNKNOWN,,,1.000000000000000,NE,LL,Fan Piedmont,,Allotment,Decimal Degrees,WGS84,,-108.128739999999993,38.490819999999999,6980.000000000000000,2,Wet,Normal,0,0,0,0,0,0,0,0,0,0,,"mule deer, elk, rabbits",Roller Chopper tree control,"Road 30' W of road
100' W of pipeline",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-108.128729410000005,38.490813930000002,2015-09-01,{738D94C0-54A3-4246-B729-7FE7F8785D84},15070116214517692015-09-01,TravelingAIMcrew 2015 5.0.mdb,DBROWNING,8/29/2018 19:47:07,SBURNETT,7/22/2020 16:00:09,CO,CO,Colorado Uncompagre FO 2015,,,,,,,,,,,,,,,,,
60596,1506172212312594,1506250953565052,9/29/2015 16:23:48,Pinyon HL HA1 SI2,6/17/2015 0:00:00,CO,,,0.000000000000000,in, UNKNOWN,,,4.000000000000000,NE,LL,Fan Piedmont,,Allotment,Decimal Degrees,WGS84,,-107.947785999999994,38.366410000000002,7061.000000000000000,2,Wet,Normal,0,1,1,0,0,0,0,0,0,0,,,Hydro Axe tree control,closed BLM road to E of plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-107.947775469999996,38.366403939999998,2015-09-01,{AA11ED99-86F0-49CD-8DC2-F6D3D04FB0F1},15062509535650522015-09-01,TravelingAIMcrew 2015 5.0.mdb,DBROWNING,8/29/2018 19:47:07,SBURNETT,7/22/2020 16:00:11,CO,CO,Colorado Uncompagre FO 2015,,,,,,,,,,,,,,,,,
60597,1506172212312594,1506251049297245,9/29/2015 16:22:52,HWY 90 PL RC2 SI2,6/24/2015 0:00:00,CO,,,0.000000000000000,in, UNKNOWN,,,1.000000000000000,N,LL,Fan Piedmont,,Allotment,Decimal Degrees,WGS84,,-108.030420000000007,38.373809999999999,0.000000000000000,1,Wet,Normal,0,1,1,0,0,0,0,0,0,0,,grazing livestock,roller chopped plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-108.030409449999993,38.373803940000002,2015-09-01,{CD857658-4B86-484E-A148-3C6E5D3DBCFF},15062510492972452015-09-01,TravelingAIMcrew 2015 5.0.mdb,DBROWNING,8/29/2018 19:47:07,SBURNETT,7/22/2020 16:00:11,CO,CO,Colorado Uncompagre FO 2015,,,,,,,,,,,,,,,,,
60598,1506172212312594,1506291112559562,9/29/2015 16:22:04,Franklin Mesa AS1 SI2,6/29/2015 0:00:00,CO,,,0.000000000000000,in, UNKNOWN,,,0.000000000000000,,LV,Fan Piedmont,,Allotment,Decimal Degrees,WGS84,,-108.019530000000003,38.477159999999998,6276.000000000000000,2,Wet,Normal,0,0,0,0,1,0,0,0,0,0,,mule deer,aerial seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-108.019519439999996,38.477153930000000,2015-09-01,{DBBC1A42-4E19-49DE-AF75-77CCB5C7320F},15062911125595622015-09-01,TravelingAIMcrew 2015 5.0.mdb,DBROWNING,8/29/2018 19:47:07,SBURNETT,7/22/2020 16:00:11,CO,CO,Colorado Uncompagre FO 2015,,,,,,,,,,,,,,,,,
60599,1506172212312594,1506301712081927,9/29/2015 16:22:36,HWY 90 PL RC1 SI2,6/23/2015 0:00:00,CO,,,0.000000000000000,in, UNKNOWN,,,1.000000000000000,N,LL,Fan Piedmont,,Allotment,Decimal Degrees,WGS84,,-108.012760000000000,38.399810000000002,7122.000000000000000,2,Wet,Normal,0,0,0,0,1,0,0,0,1,0,,,,Powerlines and BLM road following parallel to it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-108.012749450000001,38.399803939999998,2015-09-01,{969D8504-B367-4F81-8993-65D760F4F690},15063017120819272015-09-01,TravelingAIMcrew 2015 5.0.mdb,DBROWNING,8/29/2018 19:47:07,SBURNETT,7/22/2020 16:00:11,CO,CO,Colorado Uncompagre FO 2015,,,,,,,,,,,,,,,,,
60600,1506172212312594,1506301816004125,9/29/2015 16:22:19,HWY 90 PL HA1 SI1,6/23/2015 0:00:00,CO,,,0.000000000000000,in, UNKNOWN,,,0.000000000000000,,,,,,Decimal Degrees,WGS84,,-108.017809999999997,38.411050000000003,7049.000000000000000,2,Wet,Normal,0,1,1,0,0,0,0,0,0,0,,GRAZING,hydro ax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-108.017799449999998,38.411043939999999,2015-09-01,{A9104163-0C78-4C3E-9DA5-43CA179EF910},15063018160041252015-09-01,TravelingAIMcrew 2015 5.0.mdb,DBROWNING,8/29/2018 19:47:07,SBURNETT,7/22/2020 16:00:11,CO,CO,Colorado Uncompagre FO 2015,,,,,,,,,,,,,,,,,
60601,1506172212312594,1507010658204438,9/29/2015 16:23:11,Paxton RC2 SI3,6/30/2015 0:00:00,CO,,,0.000000000000000,in, UNKNOWN,,,0.000000000000000,,,,,,Decimal Degrees,WGS84,,-108.040130000000005,38.424930000000003,7120.000000000000000,2,Wet,Normal,0,0,0,0,0,0,0,0,0,0,,"elk, mule deer, rabbits",Roller chopper tree control,BLM road runs through plot between lines 70 and 190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-108.040119439999998,38.424923939999999,2015-09-01,{3B6B74A9-2C1B-4F2A-A9BF-02BC8DA1CF9C},15070106582044382015-09-01,TravelingAIMcrew 2015 5.0.mdb,DBROWNING,8/29/2018 19:47:07,SBURNETT,7/22/2020 16:00:11,CO,CO,Colorado Uncompagre FO 2015,,,,,,,,,,,,,,,,,
60604,1506172212312594,1506180655331357,9/29/2015 16:21:14,Dave Wood HA2 SI1,6/18/2015 0:00:00,CO,,,0.000000000000000,in, UNKNOWN,,,5.000000000000000,N,LL,Fan Piedmont,,Allotment,Decimal Degrees,WGS84,,-107.963880000000003,38.354759999999999,7343.000000000000000,2,Wet,Normal,0,0,1,0,1,0,0,0,0,0,,"Cattle, Elk, Mule Deer",Hyrdro Axe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-107.963869470000006,38.354753940000002,2015-09-01,{1F558B84-3685-412D-A613-4E438A7272B2},15061806553313572015-09-01,TravelingAIMcrew 2015 5.0.mdb,DBROWNING,8/29/2018 19:47:07,SBURNETT,7/22/2020 16:00:11,CO,CO,Colorado Uncompagre FO 2015,,,,,,,,,,,,,,,,,
60605,1506172212312594,150624193207316,9/29/2015 16:21:30,Dave Wood HA2 SI6,,CO,,,0.000000000000000,in, UNKNOWN,,,6.000000000000000,N,LL,Fan Piedmont,,Allotment,Decimal Degrees,WGS84,,-107.951350000000005,38.370440000000002,7033.000000000000000,2,Wet,Normal,0,0,0,0,0,0,0,0,0,0,,,Hydro Axe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-107.951339469999994,38.370433939999998,2015-09-01,{419669F5-629F-4D1F-8F4F-4F2CC4F2F47E},1506241932073162015-09-01,TravelingAIMcrew 2015 5.0.mdb,DBROWNING,8/29/2018 19:47:07,SBURNETT,7/22/2020 16:00:11,CO,CO,Colorado Uncompagre FO 2015,,,,,,,,,,,,,,,,,
60606,1506172212312594,1506250801282801,9/29/2015 16:21:48,Dave Wood Upper HA2 SI1,6/22/2015 0:00:00,CO,,,0.000000000000000,in,,,,1.000000000000000,60,LL,,,Allotment,Decimal Degrees,WGS84,,-107.982450000000000,38.336869999999998,7750.000000000000000,2,Wet,Normal,0,1,1,0,0,0,0,0,0,0,,high cattle grazing usage,hydro axe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-107.982439459999995,38.336863950000001,2015-09-01,{F1FDF81F-F3CC-40D7-B7A3-3C2B71E5294B},15062508012828012015-09-01,TravelingAIMcrew 2015 5.0.mdb,DBROWNING,8/29/2018 19:47:07,SBURNETT,7/22/2020 16:00:11,CO,CO,Colorado Uncompagre FO 2015,,,,,,,,,,,,,,,,,
